Country,ISO,diabetes_prevalence,health_spending,doctors_per_1000,oop_spending,Cluster,Cluster_Name,Anomaly,Anomaly_Label
Peru,PER,0.17460089905707,1006.93396,1.649,27.03717,0.0,"High Burden, Mid Capacity",1,Normal
Poland,POL,0.10814083296180145,2973.962,3.424,18.434946,2.0,Healthy & Wealthy,1,Normal
Portugal,PRT,0.07498184841789185,4706.4077,5.851,29.135382,2.0,Healthy & Wealthy,1,Normal
Romania,ROU,0.131991839303481,2448.6748,3.625,21.421675,2.0,Healthy & Wealthy,1,Normal
Russian Federation,RUS,0.07982786055800314,2873.8032,5.111,27.586016,2.0,Healthy & Wealthy,1,Normal
Rwanda,RWA,0.05508767614692894,183.54257,0.09,4.2,1.0,"Low Burden, Low Capacity",1,Normal
Sao Tome and Principe,STP,0.15917075501278,348.5122,0.464,15.207848,1.0,"Low Burden, Low Capacity",1,Normal
Saudi Arabia,SAU,0.2061929979653305,3264.9531,3.482,12.783439,0.0,"High Burden, Mid Capacity",1,Normal
Senegal,SEN,0.08169120923708381,183.65121,0.124,47.209187,1.0,"Low Burden, Low Capacity",1,Normal
Serbia,SRB,0.1082828919616946,2208.6716,3.099,30.798447,2.0,Healthy & Wealthy,1,Normal
Seychelles,SYC,0.138245437979255,1259.8136,6.598,29.964771,2.0,Healthy & Wealthy,1,Normal
Sierra Leone,SLE,0.1136526427917725,150.9928,0.134,54.929825,3.0,Silent Crisis,1,Normal
Singapore,SGP,0.1310122673764335,6262.287,2.834,23.484125,2.0,Healthy & Wealthy,1,Normal
Slovakia,SVK,0.0890577373082535,3163.6772,3.697,19.262424,2.0,Healthy & Wealthy,1,Normal
Slovenia,SVN,0.10769287101979795,4864.662,3.367,12.431871,2.0,Healthy & Wealthy,1,Normal
South Africa,ZAF,0.1368981186037635,1290.7306,0.794,6.7182865,1.0,"Low Burden, Low Capacity",1,Normal
South Korea,KOR,0.10327816578206764,4868.6587,2.61,29.27519,2.0,Healthy & Wealthy,1,Normal
South Sudan,SSD,0.08668406508967574,87.83328,0.041,31.781055,1.0,"Low Burden, Low Capacity",1,Normal
Spain,ESP,0.0364072468120471,4916.078,4.294,21.027506,2.0,Healthy & Wealthy,1,Normal
Switzerland,CHE,0.043297184524173346,10574.841,4.477,21.743334,2.0,Healthy & Wealthy,-1,Anomaly
Tajikistan,TJK,0.140060202214504,337.27597,1.939,65.18047,3.0,Silent Crisis,1,Normal
Tanzania,TZA,0.06579545302407774,113.073875,0.134,27.966301,1.0,"Low Burden, Low Capacity",1,Normal
Togo,TGO,0.09503108332883126,177.0579,0.08,64.16651,3.0,Silent Crisis,1,Normal
Turkiye,TUR,0.1656743285179275,1413.4917,2.236,19.47844,0.0,"High Burden, Mid Capacity",1,Normal
Turkmenistan,TKM,0.150950342969132,1190.2764,1.916,79.22116,3.0,Silent Crisis,1,Normal
Uganda,UGA,0.0512043554344868,139.2572,0.191,33.840233,1.0,"Low Burden, Low Capacity",1,Normal
United Arab Emirates,ARE,0.25795278405282895,3313.2666,2.915,9.718458,0.0,"High Burden, Mid Capacity",-1,Anomaly
United Kingdom,GBR,0.08800200102506364,6496.9453,3.143,14.381287,2.0,Healthy & Wealthy,1,Normal
United States of America,USA,0.1250726162503305,12586.196,3.681,10.968778,2.0,Healthy & Wealthy,-1,Anomaly
Uruguay,URY,0.14141021995582548,2959.2478,4.674,16.326977,2.0,Healthy & Wealthy,1,Normal
Yemen,YEM,0.182567790293576,155.83522,0.165,71.377396,3.0,Silent Crisis,1,Normal
Zambia,ZMB,0.125860716803233,200.11812,0.324,8.915434,1.0,"Low Burden, Low Capacity",1,Normal
India,IND,0.22567764094578852,310.20468,0.723,44.54134,0.0,"High Burden, Mid Capacity",1,Normal
